XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
386337.8691,3946402.22,302151,302534,151267,96.717827
386337.1275,3946394.486,302152,1016965,508484,31.663309
386404.5536,3946402.333,302162,302223,151113,11.700279
386404.5536,3946402.333,302162,302598,151299,21.722593
386404.5536,3946402.333,302162,302894,151448,23.117159
386393.1134,3946404.787,302223,302401,151201,33.990014
386393.1134,3946404.787,302223,302431,151216,6.240349
386850.1521,3946404.8310000002,302227,306423,153212,122.86573700000001
386445.3744,3946404.874,302231,302799,151401,18.17848
386841.7467,3946408.8419999997,302368,302466,151233,64.548264
386841.7467,3946408.8419999997,302368,306006,153003,108.56832299999999
386359.5065,3946409.875,302401,302521,151262,29.828964000000003
386359.5065,3946409.875,302401,302576,151288,6.081308
386392.9124,3946411.0239999997,302431,302662,151332,7.584045
386619.6119,3946411.4039999996,302448,302526,151264,19.641102
386619.6119,3946411.4039999996,302448,304790,152395,106.46061100000001
386777.2775,3946412.037,302466,302480,151240,7.798350999999999
386777.2775,3946412.037,302466,302654,151327,6.258833
386329.891,3946413.438,302521,302783,151393,87.688632
386329.891,3946413.438,302521,304661,152331,62.265733
386600.0921,3946413.584,302526,302758,151379,9.865478999999999
386241.8348,3946413.6980000003,302534,302783,151392,8.636769000000001
386241.8348,3946413.6980000003,302534,303129,151566,139.302177
386435.1302,3946413.769,302535,302799,151400,11.535138
386435.1302,3946413.769,302535,302920,151461,12.905092999999999
386359.9913,3946415.937,302576,302662,151331,34.284890999999995
386359.9913,3946415.937,302576,304554,152277,57.578914000000005
386420.9334,3946416.6010000003,302598,302920,151460,13.578998
386420.9334,3946416.6010000003,302598,303100,151551,15.773328
386565.1932,3946417.479,302637,302777,151390,29.368265
386777.5382,3946418.29,302654,303403,151702,23.989791
386777.5382,3946418.29,302654,303403,151703,23.989791
386777.5382,3946418.29,302654,305836,152918,186.009912
386392.6652,3946418.604,302662,302808,151404,4.5671040000000005
386536.2077,3946422.164,302777,302990,151496,6.660665
386242.6509,3946422.296,302783,303373,151688,131.169923
386242.6509,3946422.296,302783,304685,152343,54.236392
386442.3255,3946422.785,302799,305759,152880,99.001081
386393.7088,3946423.05,302808,302894,151447,8.669395
386393.7088,3946423.05,302808,304458,152229,47.363566
386402.0765,3946425.317,302894,303100,151550,18.463085999999997
386402.0765,3946425.317,302894,304517,152260,46.950565999999995
386430.8036,3946425.9269999997,302920,303242,151622,11.251575
386430.8036,3946425.9269999997,302920,303538,151769,21.716831
386535.3957,3946428.775,302990,303048,151524,35.075656
386535.3957,3946428.775,302990,303234,151617,7.321358
386419.1779,3946432.277,303100,303242,151621,8.589638
386419.1779,3946432.277,303100,303835,151918,20.425337
386104.0872,3946433.543,303129,303130,151565,8.310846000000002
386104.0872,3946433.543,303129,303373,151687,10.882613000000001
386104.0872,3946433.543,303129,304094,152047,77.68735600000001
386100.0197,3946426.295,303130,1017001,508503,3.7177589999999996
386426.7092,3946436.4069999997,303242,303556,151778,7.458836
386112.7902,3946440.0760000004,303373,303879,151940,36.511707
386112.7902,3946440.0760000004,303373,305135,152568,56.631749
386774.1028,3946440.7430000002,303403,303881,151942,52.589239
386774.1028,3946440.7430000002,303403,305664,152833,170.186143
386444.0431,3946443.1410000003,303538,303556,151779,15.475142000000002
386444.0431,3946443.1410000003,303538,307498,153749,122.781653
386428.7925,3946443.5689999997,303556,303835,151919,15.856539999999999
386428.7925,3946443.5689999997,303556,303922,151961,13.688126
386511.8097,3946450.752,303794,305759,152881,63.594618999999994
386511.8097,3946450.752,303794,305963,152982,76.26665799999999
386415.63200000004,3946452.39,303835,305079,152541,37.841133
386078.7627,3946453.314,303879,304391,152197,47.737206
386078.7627,3946453.314,303879,305492,152746,49.800763
386725.6251,3946453.33,303881,303882,151941,17.896743
386725.6251,3946453.33,303881,304848,152424,29.551023999999998
386437.5552,3946454.085,303922,304549,152275,27.494373
386437.5552,3946454.085,303922,308183,154093,141.199639
386031.0709,3946460.037,304094,304391,152196,9.101118
386031.0709,3946460.037,304094,305514,152758,127.952425
386033.6003,3946468.78,304391,304833,152417,34.691790000000005
386033.6003,3946468.78,304391,305989,152995,50.410914
386389.83700000006,3946470.103,304458,304517,152259,6.681325999999999
386389.83700000006,3946470.103,304458,304554,152278,24.362714999999998
386389.83700000006,3946470.103,304458,306485,153244,63.091618000000004
386396.2703,3946471.9069999997,304517,305079,152540,18.465246
386396.2703,3946471.9069999997,304517,306565,153284,63.61649
386365.8104,3946473.139,304554,304661,152332,30.625288
386365.8104,3946473.139,304554,306115,153059,51.504984
386335.274,3946475.47,304661,304685,152344,88.310924
386335.274,3946475.47,304661,305745,152873,35.672699
386248.2932,3946476.238,304685,304788,152394,19.853019
386248.2932,3946476.238,304685,306049,153025,42.442309
386228.5863,3946478.642,304788,304890,152445,25.89988
386228.5863,3946478.642,304788,306110,153055,41.47116
386678.6507,3946478.733,304790,305906,152953,47.20963
386678.6507,3946478.733,304790,306196,153098,43.956608
386000.7787,3946480.017,304833,305844,152923,94.510074
386000.7787,3946480.017,304833,306403,153202,49.328986
386718.9083,3946480.45,304848,305606,152803,24.540748
386718.9083,3946480.45,304848,305664,152832,42.774844
386202.8769,3946481.778,304890,305135,152569,66.787892
386202.8769,3946481.778,304890,306218,153109,40.638873
386404.3502,3946488.51,305079,308041,154022,92.063663
386136.5784,3946489.848,305135,306399,153200,38.453435999999996
386094.6142,3946500.525,305492,305989,152996,46.815839000000004
386094.6142,3946500.525,305492,306852,153426,42.318794
386715.4265,3946503.5130000003,305606,305804,152902,16.379296
386715.4265,3946503.5130000003,305606,305906,152954,13.88809
386751.081,3946504.945,305664,305804,152903,27.424882
386320.815,3946508.0810000002,305745,306115,153058,26.652503000000003
386320.815,3946508.0810000002,305745,306871,153437,36.318614000000004
386486.214,3946508.9310000003,305759,309059,154530,91.77764300000001
386730.1481,3946510.6139999996,305804,306019,153010,6.483757
386615.336,3946510.668,305807,305808,152904,31.126284000000002
386615.336,3946510.668,305807,305810,152905,23.112015
